microorganism,antibiotic,note
Escherichia coli,Daptomycin,Lipopeptide; outer membrane blocks entry — not active against gram-negatives
Escherichia coli,Oxacillin,Anti-staphylococcal penicillin; no breakpoint for Enterobacterales
